"source";"translation";"type";"module";"status";"customer"
"Affiliates";"Partneri";"B";"";"T";"N"
"Affiliates Manager";"Menadžer partnera";"S";"";"T";"N"
"DirectLinks Urls";"Url direktnih linkova";"S";"";"T";"N"
"Transactions";"Transakcije";"B";"";"T";"N"
"Commissions";"Provizije";"B";"";"T";"N"
"Reports";"Izveštaji";"B";"";"T";"N"
"Trends report";"Izveštaj o trendovima";"B";"";"T";"N"
"Payouts history";"Istorija isplata";"B";"";"T";"N"
"Payouts by affiliate";"Isplate po partnerima";"B";"";"T";"N"
"Payouts";"Isplate";"B";"";"T";"N"
"Pay affiliates";"Plaćanje partnerima";"B";"";"T";"N"
"Communication";"Komunikacija";"B";"";"T";"N"
"Send message";"Pošaljite poruku";"S";"";"T";"N"
"Configuration";"Podešavanja";"B";"";"T";"N"
"Tracking settings";"Podešavanja praćenja";"B";"";"T";"N"
"Affiliate panel";"Panel Partnera";"C";"";"T";"N"
"Tools";"Alati";"B";"";"T";"N"
"Integration";"Integracija";"B";"";"T";"N"
"Import / Export";"Uvoz / Izvoz";"B";"";"T";"N"
"Event logs";"Log dešavanja";"B";"";"T";"N"
"Online users";"Korisnici na vezi";"B";"";"T";"N"
"Database status";"Status baze podataka";"B";"";"T";"N"
"User cannot be found";"Korisnik nije pronađen";"S";"";"T";"N"
"Email was successfully sent to merchant";"Email je uspešno poslat trgovcu";"S";"";"T";"N"
"Email notifications saved";"Email obaveštenja su sačuvana";"S";"";"T";"N"
"Banner";"Baner";"B";"";"T";"N"
"none active";"nema aktivnih";"S";"";"T";"N"
"per click";"po Kliku";"B";"";"T";"N"
"per sale";"po Prodaji";"B";"";"T";"N"
"ID";"Id";"B";"";"T";"N"
"Name";"Ime";"B";"";"T";"N"
"Description";"Opis";"B";"";"T";"N"
"Status";"Status";"B";"";"N";"N"
"Date created";"Datum kreiranja";"S";"";"T";"N"
"Actions";"Akcije";"B";"";"T";"N"
"Channel";"Kanal";"B";"";"T";"N"
"Failed to save %s field(s)";"Nije uspelo čuvanje %s polja";"S";"";"T";"N"
