"source";"translation";"type";"module";"status";"customer"
"Please enable MySQL extension. More info http://php.net/mysql";"Lūdzu aktivizēt MySQL pagarinājumus. Vairāk informācijas http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Lūdzu uzinstalējiet jaunāku MySQL versiju %s. Jūsu pašreizējā versija ir %s. Vairāk informācijas http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Lūdzu pārbaudiet sistēmas prasības un mēģiniet vēlreiz";"S";"";"T";"N"
"Welcome";"Sveicināts";"B";"";"T";"Y"
"You have to specify status of campaign (rstatus field)";"Jums jānorāda kampaņas statuss (rstatuss lauciņš)";"S";"";"T";"Y"
"Campaigns";"Kampaņas";"B";"";"T";"Y"
"Overview";"Pārskats";"B";"";"T";"Y"
"Campaigns Manager";"Kampaņu pārvaldnieks";"S";"";"T";"Y"
"Banners";"Baneri";"B";"";"T";"Y"
"Banners Manager";"Baneru Pārvaldnieks";"B";"";"T";"Y"
"Affiliates";"Partneri";"B";"";"T";"N"
"Affiliates Manager";"Partneru Pārvaldnieks";"S";"";"T";"Y"
"DirectLinks Urls";"Tiešo Linku Url";"S";"";"T";"Y"
"Transactions";"Transakcijas";"B";"";"T";"N"
"Commissions";"Komisijas";"B";"";"T";"N"
"Reports";"Atskaites";"B";"";"T";"N"
"Trends report";"Tendenču atskaite";"B";"";"T";"N"
"Payouts history";"Izmaksu vēsture";"B";"";"T";"Y"
"Payouts by affiliate";"Izmaksas katram partnerim";"B";"";"T";"N"
"Payouts";"Izmaksas";"B";"";"T";"N"
"Pay affiliates";"Izmaksāt partneriem";"B";"";"T";"N"
"Communication";"Komunikācija";"B";"";"T";"Y"
"Send message";"Sūtīt ziņu";"S";"";"T";"N"
"Configuration";"Konfigurācija";"B";"";"T";"Y"
"Tracking settings";"Izsekošanas iestatījumi";"B";"";"T";"Y"
"Affiliate panel";"Partneru panelis";"C";"";"T";"N"
"Tools";"Instrumenti";"B";"";"T";"N"
"Integration";"Integrācija";"B";"";"T";"Y"
"Import / Export";"Imports/Eksports";"B";"";"T";"N"
"Event logs";"Notikumu saraksts";"B";"";"T";"Y"
"Database status";"Datu bāzes statuss";"B";"";"T";"Y"
"User cannot be found";"Lietotājs nav atrodams";"S";"";"T";"N"
