"source";"translation";"type";"module";"status";"customer"
"Event logs";"Log událostí";"B";"";"T";"N"
"Online users";"Uživatelé online";"B";"";"T";"N"
"Database status";"Status databáze";"B";"";"T";"N"
"User cannot be found";"Uživatel nenalezen";"S";"";"T";"N"
"Email was successfully sent to merchant";"e-mail byl úspěšně odeslán obchodníkovi";"S";"";"T";"N"
"Email notifications saved";"E-mailová oznámení uložena";"S";"";"T";"N"
"Banner";"Banner";"B";"";"N";"N"
"none active";"neaktivní";"S";"";"T";"N"
"per click";"za kliknutí";"B";"";"T";"N"
"per sale";"za prodej";"B";"";"T";"N"
"ID";"ID";"B";"";"N";"N"
"Name";"Jméno";"B";"";"T";"N"
"Description";"Popis";"B";"";"T";"N"
"Status";"Status";"B";"";"N";"N"
"Date created";"Datum vytvoření";"S";"";"T";"N"
"Actions";"Akce";"B";"";"T";"N"
"Channel";"Kanál";"B";"";"T";"N"
"Failed to save %s field(s)";"Selhalo ukládání %s pole(polí)";"S";"";"T";"N"
"%s field(s) successfully saved";"%s pole(polí) úspěšně uloženo";"S";"";"T";"N"
"User";"Uživatel";"B";"";"T";"N"
"Channel name";"Název kanálu";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"Předpis nesouhlasí s URL, zkontrolujte svůj předpis";"S";"";"T";"N"
"Pattern matched the URL";"Předpis souhlasí s URL";"S";"";"T";"N"
"Login";"Login";"B";"";"N";"N"
"First name";"Křestní jméno";"B";"";"T";"N"
"Last name";"Příjmení";"B";"";"T";"N"
"Referral ID";"ID refereru (odkazujícího)";"B";"";"T";"N"
"I agree with terms & conditions";"Souhlasím s podmínkami";"B";"";"T";"N"
"Cannot find invoice";"Nelze nalézt fakturu";"S";"";"T";"N"
"Affiliate";"Partner";"B";"";"T";"N"
"Date of registration";"Datum registrace";"S";"";"T";"N"
"Commission";"Provize";"B";"";"T";"N"
"Total cost";"Celková suma";"B";"";"T";"N"
"Order ID";"ID objednávky";"B";"";"T";"N"
"Product ID";"ID produktu";"B";"";"T";"N"
"Created";"Vytvořeno";"B";"";"T";"N"
"Campaign Name";"Název kampaně";"B";"";"T";"N"
"Type";"Typ";"B";"";"T";"N"
"Affiliate username";"Uživatelské jméno partnera";"S";"";"T";"N"
"Paid";"Zaplaceno";"B";"";"T";"N"
"Ip";"IP";"S";"";"N";"N"
"Referer";"Referer (Odkazující)";"B";"";"T";"N"
"Recurring commison id";"Opakované (pravidelně vyplácené) provize ID";"S";"";"T";"N"
"Payout history id";"ID historie plateb";"B";"";"T";"N"
"Click count";"Počet kliknutí";"S";"";"T";"N"
"First click time";"Čas prvního kliknutí";"S";"";"T";"N"
"First click referer";"Referer (Odkazující) prvního kliku";"S";"";"T";"N"
"First click ip";"IP prvního kliknutí";"S";"";"T";"N"
"First click data 1";"První klik data 1";"S";"";"T";"N"
"First click data 2";"První klik data 2";"S";"";"T";"N"
"Last click time";"Čas posledního kliknutí";"S";"";"T";"N"
"Last click referer";"Referer posledního kliknutí";"S";"";"T";"N"
"Last click ip";"IP posledního kliknutí";"S";"";"T";"N"
"Last click data 1";"Data 1 pro poslední kliknutí";"S";"";"T";"N"
"Last click data 2";"Data 2 pro poslední kliknutí";"S";"";"T";"N"
"Extra data 1";"Extra data 1";"B";"";"T";"N"
"Extra data 2";"Extra data 2";"B";"";"T";"N"
"Extra data 3";"Extra data 3";"S";"";"T";"N"
"Extra data 4";"Extra data 4";"S";"";"T";"N"
"Extra data 5";"Extra data 5";"S";"";"T";"N"
