"source";"translation";"type";"module";"status";"customer"
"Affiliate";"Affiliate";"B";"";"N";"N"
"Date of registration";"Ngày đăng ký";"S";"";"T";"N"
"Commission";"Hoa hồng";"B";"";"T";"N"
"Total cost";"Tổng giá trị";"B";"";"T";"N"
"Order ID";"ID Đơn đặt hàng";"B";"";"T";"N"
"Product ID";"ID Sản phẩm";"B";"";"T";"N"
"Created";"Được tạo";"B";"";"T";"N"
"Campaign Name";"Tên Chiến dịch";"B";"";"T";"N"
"Type";"Loại";"B";"";"T";"N"
"Affiliate username";"Tên đăng nhập Affiliate";"S";"";"T";"N"
"Paid";"đã thanh toán";"B";"";"T";"N"
"Ip";"IP";"S";"";"N";"N"
"Referer";"Người giới thiệu";"B";"";"T";"N"
"Recurring commison id";"ID hoa hồng tuyển dụng";"S";"";"T";"N"
"Payout history id";"ID lịch sử thanh toán";"B";"";"T";"N"
"Click count";"Lượt click";"S";"";"T";"N"
"First click time";"Thời gian click đầu tiên";"S";"";"T";"N"
"First click referer";"Người giới thiệu click đầu tiên";"S";"";"T";"N"
"First click ip";"IP Click đầu tiên";"S";"";"T";"N"
"First click data 1";"Data 1 Click đầu tiên";"S";"";"T";"N"
"First click data 2";"Data 2 Click đầu tiên";"S";"";"T";"N"
"Last click time";"Thời gian click cuối";"S";"";"T";"N"
"Last click referer";"Người giới thiệu click cuối";"S";"";"T";"N"
"Last click ip";"IP click cuối";"S";"";"T";"N"
"Last click data 1";"Data 1 Click cuối";"S";"";"T";"N"
"Last click data 2";"Data 2 Click cuối";"S";"";"T";"N"
"Extra data 1";"Extra Data 1";"B";"";"N";"N"
"Extra data 2";"Extra Data 2";"B";"";"N";"N"
"Extra data 3";"Extra Data 3";"S";"";"N";"N"
"Extra data 4";"Extra Data 4";"S";"";"N";"N"
"Extra data 5";"Extra Data 5";"S";"";"N";"N"
"Merchant note";"Ghi chú Merchant";"B";"";"T";"N"
"Banner name";"Tên Banner";"B";"";"T";"N"
"Banner preview";"Xem trước Banner";"S";"";"T";"N"
"Campaign";"Chiến dịch";"B";"";"T";"N"
"Target URL";"URL mục tiêu";"B";"";"T";"N"
"Banner type";"Loại Banner";"S";"";"T";"N"
"Html data is not defined";"Dữ liệu Html không xác định";"S";"";"T";"N"
