"source";"translation";"type";"module";"status";"customer"
"Date of registration";"תאריך הרשמה";"S";"";"T";"N"
"Commission";"עמלות";"B";"";"T";"N"
"Total cost";"עלות כוללת";"B";"";"T";"N"
"Order ID";"מספר הזמנה";"B";"";"T";"N"
"Product ID";"מספר מוצר";"B";"";"T";"N"
"Created";"נוצר  ";"B";"";"T";"N"
"Campaign Name";"שם קמפיין";"B";"";"T";"N"
"Type";"סוג";"B";"";"T";"N"
"Affiliate username";"שם משווק משנה";"S";"";"T";"N"
"Paid";"שולם";"B";"";"T";"N"
"Ip";"IP  ";"S";"";"T";"N"
"Referer";"מפנה";"B";"";"T";"N"
"Recurring commison id";"מזהה עמלה מתחדשת(הו""ק)";"S";"";"T";"N"
"Payout history id";"מזהה היסטוריית תשלום";"B";"";"T";"N"
"Click count";"מונה קליקים";"S";"";"T";"N"
"First click time";"מועד הקליק הראשון";"S";"";"T";"N"
"First click referer";"מפנה הקליק הראשון";"S";"";"T";"N"
"First click ip";"IP קליק ראשון";"S";"";"T";"N"
"First click data 1";"מידע קליק ראשון 1";"S";"";"T";"N"
"First click data 2";"מידע קליק ראשון 2";"S";"";"T";"N"
"Last click time";"מועד הקליק האחרון";"S";"";"T";"N"
"Last click referer";"מפנה הקליק האחרון";"S";"";"T";"N"
"Last click ip";"IP קליק אחרון";"S";"";"T";"N"
"Last click data 1";"מידע קליק אחרון 1";"S";"";"T";"N"
"Last click data 2";"מידע קליק אחרון 2";"S";"";"T";"N"
"Extra data 1";"מידע נוסף 1";"B";"";"T";"N"
"Extra data 2";"מידע נוסף 2";"B";"";"T";"N"
"Extra data 3";"מידע נוסף 3";"S";"";"T";"N"
"Extra data 4";"מידע נוסף 4";"S";"";"T";"N"
"Extra data 5";"מידע נוסף 5";"S";"";"T";"N"
"Merchant note";"הערת מפרסם";"B";"";"T";"N"
"Banner name";"שם באנר";"B";"";"T";"N"
"Banner preview";"תצוגה מקדימה לבאנר";"S";"";"T";"N"
"Campaign";"קמפיין";"B";"";"T";"N"
"Target URL";"URL יעד";"B";"";"T";"N"
"Banner type";"סוג באנר";"S";"";"T";"N"
"Html data is not defined";"HTML אינו מוגדר";"S";"";"T";"N"
"File name is not defined";"שם קובץ אינו מוגדר";"S";"";"T";"N"
"unknown";"לא ידוע";"B";"";"T";"N"
"approved";"מאושר";"B";"";"T";"N"
"pending";"ממתין";"B";"";"T";"N"
"User Id";"מזהה משתמש";"S";"";"T";"N"
"Payment date";"תאריך תשלום";"S";"";"T";"N"
"Username";"שם משתמש";"B";"";"T";"N"
"Amount";"סכום";"B";"";"T";"N"
"Note to affiliate";"הערה למשווקי משנה";"S";"";"T";"N"
"Original currency ID";"מזהה מטבע מקורי";"S";"";"T";"N"
"Original currency rate";"שער מטבע מקורי";"S";"";"T";"N"
"Original currency value";"ערך מטבע מקורי";"S";"";"T";"N"
"System note";"הערת מערכת";"B";"";"T";"N"
"Country code";"קוד מדינה";"B";"";"T";"N"
"Affiliate first name";"שם פרטי של משווק המשנה";"S";"";"T";"N"
