"source";"translation";"type";"module";"status";"customer"
"Ip";"IP";"S";"";"T";"N"
"Referer";"Promotor";"B";"";"T";"N"
"Recurring commison id";"ID de la comisión";"S";"";"T";"N"
"Payout history id";"ID de la historia de pagos";"B";"";"T";"N"
"Click count";"Cuenta de clicks";"S";"";"T";"N"
"First click time";"Hora de primer click";"S";"";"T";"N"
"First click referer";"Promotor del primer click";"S";"";"T";"N"
"First click ip";"IP del primer click";"S";"";"T";"N"
"First click data 1";"Primer click data 1";"S";"";"T";"N"
"First click data 2";"Primer click data 2";"S";"";"T";"N"
"Last click time";"Hora del primer click";"S";"";"T";"N"
"Last click referer";"Promotor del click";"S";"";"T";"N"
"Last click ip";"IP del click";"S";"";"T";"N"
"Last click data 1";"Último click data 1";"S";"";"T";"N"
"Last click data 2";"Último click data 2";"S";"";"T";"N"
"Extra data 1";"Extra data 1";"B";"";"T";"N"
"Extra data 2";"Extra data 2";"B";"";"T";"N"
"Extra data 3";"Extra data 3";"S";"";"T";"N"
"Extra data 4";"Extra data 4";"S";"";"T";"N"
"Extra data 5";"Extra data 5";"S";"";"T";"N"
"Merchant note";"Nota del administrador";"B";"";"T";"N"
"Banner name";"Nombre del banner";"B";"";"T";"N"
"Banner preview";"Vista previa del banner";"S";"";"T";"N"
"Campaign";"Campaña";"B";"";"T";"N"
"Target URL";"URL de destino";"B";"";"T";"N"
"Banner type";"Tipo de banner";"S";"";"T";"N"
"Html data is not defined";"HTML data sin definir";"S";"";"T";"N"
"File name is not defined";"Nombre de archivo sin definir";"S";"";"T";"N"
"unknown";"desconocido";"B";"";"T";"N"
"approved";"aprobado";"B";"";"T";"N"
"pending";"pendiente";"B";"";"T";"N"
"User Id";"User Id";"S";"";"T";"N"
"Payment date";"Fecha de pago";"S";"";"T";"N"
"Username";"Username";"B";"";"T";"N"
"Amount";"Monto";"B";"";"T";"N"
"Note to affiliate";"Nota para el afiliado";"S";"";"T";"N"
"Original currency ID";"ID de la divisa";"S";"";"T";"N"
"Original currency rate";"Tipo de cambio de la divisa original";"S";"";"T";"N"
"Original currency value";"Valor original de la divisa";"S";"";"T";"N"
"System note";"Nota del sistema";"B";"";"T";"N"
"Country code";"Código de país";"B";"";"T";"N"
"Affiliate first name";"Primer nombre del afiliado";"S";"";"T";"N"
"Affiliate last name";"Apellido del afiliado";"S";"";"T";"N"
