"source";"translation";"type";"module";"status";"customer"
"First click referer";"Erster Klick Vermittler";"S";"";"T";"N"
"First click ip";"Erster Klick IP";"S";"";"T";"N"
"First click data 1";"Erster Klick Daten 1";"S";"";"T";"N"
"First click data 2";"Erster Klick Daten 2";"S";"";"T";"N"
"Last click time";"Letzter Klick Zeit";"S";"";"T";"N"
"Last click referer";"Letzter  Klick Vermittler";"S";"";"T";"N"
"Last click ip";"Letzter Klick IP";"S";"";"T";"N"
"Last click data 1";"Letzter Klick Daten 1";"S";"";"T";"N"
"Last click data 2";"Letzer Klick Daten 2";"S";"";"T";"N"
"Extra data 1";"Extra Daten 1";"B";"";"T";"N"
"Extra data 2";"Extra Daten 2";"B";"";"T";"N"
"Extra data 3";"Extra Daten 3";"S";"";"T";"N"
"Extra data 4";"Extra Daten 4";"S";"";"T";"N"
"Extra data 5";"Extra Daten 5";"S";"";"T";"N"
"Merchant note";"Kaufmann Mitteilung";"B";"";"T";"N"
"Banner name";"Bannername";"B";"";"T";"N"
"Banner preview";"Bannervorschau";"S";"";"T";"N"
"Campaign";"Kampagne";"B";"";"T";"N"
"Target URL";"Ziel-URL";"B";"";"T";"N"
"Banner type";"Bannertyp";"S";"";"T";"N"
"Html data is not defined";"HTML-Daten sind nicht definiert";"S";"";"T";"N"
"File name is not defined";"Dateiname ist nicht definiert";"S";"";"T";"N"
"unknown";"unbekannt";"B";"";"T";"N"
"approved";"genehmigt";"B";"";"T";"N"
"pending";"ausstehend";"B";"";"T";"N"
"User Id";"Benutzer-ID";"S";"";"T";"N"
"Payment date";"Zahlungsdatum";"S";"";"T";"N"
"Username";"Benutzername";"B";"";"T";"N"
"Amount";"Betrag";"B";"";"T";"N"
"Note to affiliate";"Mitteilung an Partner";"S";"";"T";"N"
"Original currency ID";"Original-Währungs-ID";"S";"";"T";"N"
"Original currency rate";"Original-Währungskurs";"S";"";"T";"N"
"Original currency value";"Original-Wert einer Währung";"S";"";"T";"N"
"System note";"System Mitteilung";"B";"";"T";"N"
"Country code";"Ländercode";"B";"";"T";"N"
"Affiliate first name";"Partner Vorname";"S";"";"T";"N"
"Affiliate last name";"Partner Nachname";"S";"";"T";"N"
"3rd party cookie";"Cookie eines Drittanbieters";"B";"";"T";"N"
"1st party cookie";"Cookie des Website-Betreibers";"B";"";"T";"N"
"Flash cookie";"Flash-Cookie";"B";"";"T";"N"
"Forced parameter";"Erzwungener Parameter";"B";"";"T";"N"
"IP address";"IP-Adresse";"B";"";"T";"N"
"Default affiliate";"Standard-Partner";"B";"";"T";"N"
"Url";"URL";"B";"";"T";"N"
"Note";"Mitteilung";"B";"";"T";"N"
"Status does not have allowed value";"Status hat keinen erlaubten Wert";"S";"";"T";"N"
"Selected username already exists";"Der ausgewählte Benutzername existiert bereits";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Fehler bei Änderung des Status für %s Benutzer";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Status für %s Benutzer erfolgreich geändert";"S";"";"T";"N"
"Password";"Kennwort";"B";"";"T";"N"
"Title must be unique";"Titel muss eindeutig sein";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Ausgewählter übergeordneter Partner existiert nicht";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Fehler beim Laden der Datei %s mit Fehler: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Kaufmann - neue Benutzerregisitrierung";"B";"";"T";"N"
"New user signed up";"neuer Benutzer hat sich regisitriert";"B";"";"T";"N"
"Email subject";"E-Mail-Betreff";"S";"";"T";"N"
"Email text";"E-Mail-Text";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Kaufmann - Partner hat Kontaktformular ausgefüllt";"B";"";"T";"N"
"Affiliate filled Contact us form";"Partner hat Kontaktformular ausgefüllt";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Kaufmann - neuer Verkauf / Vermittlung";"B";"";"T";"N"
"New sale / lead";"neuer Verkauf / Vermittlung";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Partner – neue Benutzerregistrierung genehmigt";"B";"";"T";"N"
", welcome to our affiliate program";", willkommen bei unserem Partnerprogramm Netzwerk";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Partner – Neue Benutzerregistrierung steht vor Genehmigung";"B";"";"T";"N"
"Paid amount";"Bezahlter Betrag";"S";"";"T";"N"
"Paid currency";"Zahlungswährung";"S";"";"T";"N"
"Payout method";"Auszahlungsmethode";"B";"";"T";"N"
"Affiliate - On payout";"Partner- In Auszahlung";"B";"";"T";"N"
"Your commissions";"Ihre Provisionen";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Neue(r) Verkauf / Vermittlung eines untergeordneten Partners";"B";"";"T";"N"
"New subaffiliate sale / lead";"Neue(r) Verkauf / Vermittlung eines untergeordneten Partners";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Partner - Neue untergeordneter Partner hat sich registriert";"B";"";"T";"N"
"New subaffiliate signed up";"Neuer untergeordneter Partner hat sich registriert";"B";"";"T";"N"
"VAT percentage";"Mehrwertsteuersatz";"B";"";"T";"N"
"VAT number";"MwSt.-Nummer";"B";"";"T";"N"
"Registration number";"Registrierungsnummer";"B";"";"T";"N"
"VAT part";"Mehrwertsteueranteil";"B";"";"T";"N"
"Payment incl. VAT";"Zahlung inkl. MwSt.";"B";"";"T";"N"
"Payment excl. VAT";"Zahlung exkl. MwSt.";"B";"";"T";"N"
"Affiliate - On VAT payout";"Partner – Auf Auszahlung mit Mehrwertsteuerberechnung";"B";"";"T";"N"
"Transaction ID";"Transaktions-ID";"B";"";"T";"N"
"TotalCost";"Gesamtkosten";"S";"";"T";"N"
"Campaign ID";"Kampagnen-ID";"S";"";"T";"N"
"Referer URL";"Vermittlungs-URL";"S";"";"T";"N"
"First click - time";"Erster Klick - Zeit";"S";"";"T";"N"
"First click - referer";"Erster Klick - Vermittler";"S";"";"T";"N"
"First click - IP";"Erster Klick - IP";"S";"";"T";"N"
"First click - data1";"Erster Klick – Daten 1";"S";"";"T";"N"
"First click - data2";"Erster Klick – Daten 2";"S";"";"T";"N"
"Last click - time";"Letzter Klick - Zeit";"S";"";"T";"N"
"Last click - referer";"Letzter Klick - Vermittler";"S";"";"T";"N"
"Last click - IP";"Letzter Klick - IP";"S";"";"T";"N"
"Last click - data1";"Letzter Klick – Daten 1";"S";"";"T";"N"
"Last click - data2";"Letzter Klick – Daten 2";"S";"";"T";"N"
"Transaction data1";"Transaktionsdaten 1";"S";"";"T";"N"
"Transaction data2";"Übertragungsdaten 2";"S";"";"T";"N"
"Transaction data3";"Transaktionsdaten 3";"S";"";"T";"N"
"Transaction data4";"Transaktionsdaten 4";"S";"";"T";"N"
"Transaction data5";"Transaktionsdaten 5";"S";"";"T";"N"
"Note to merchant";"Mitteilung an Kaufmann";"S";"";"T";"N"
"Original currency";"Originalwährung";"S";"";"T";"N"
"Banner does not exist";"Banner existiert nicht";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Serverfehler: Unbekannter Typ für BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Banner wurde gespeichert";"S";"";"T";"N"
"Clicks";"Klicks";"B";"";"T";"N"
"CTR";"Kickrate (Click-Through-Rate) ";"S";"";"T";"N"
"Order";"Bestellung";"B";"";"T";"N"
"BannersImportExportDescription";"Bannerdefinitionen- Bitte beachten Sie, dass nur die Definitionen importiert / exportiert werden, nicht die physischen Bilder oder Dateien.";"B";"";"T";"N"
"Campaign does not exist";"Kampagne existiert nicht";"S";"";"T";"N"
"Campaign capping saved";"Kampagnen-Capping gespeichert";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Anzahl der Transaktionen muss in  'Aktiv bis' Kampagnengültigkeit festgelegt werden";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"Es fehlen die Daten Von und Bis für 'Aktiv im Zeitraum' Kampagnengültigkeit";"S";"";"T";"N"
"Commission successfully computed";"Provision erfolgreich berechnet";"S";"";"T";"N"
"User is not valid!";"Benutzername  ist ungültig!";"S";"";"T";"N"
"Campaign is not valid!";"Kampagne ist ungültig!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Transaktionstyp ist nicht gültig oder existiert nicht in dieser Kampagne!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Provisionsgruppe konnte für diesen Benutzer in der Kampagne nicht ermittelt werden";"S";"";"T";"N"
"Error getting commission settings!";"Fehler beim Aufrufen der Provisionseinstellungen!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Fehler, für die Ermittlung von anteiligen Provisionen müssen Sie die Gesamtkosten definieren!";"S";"";"T";"N"
"You cannot delete default campaign";"Sie können die Standard-Kampagne nicht löschen";"S";"";"T";"N"
"Default";"Standard";"B";"";"T";"N"
"per sale / lead";"pro Verkauf / Vermittlung";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"Lade Provisionsgruppen: Kampagnen-ID ist leer";"S";"";"T";"N"
"Campaign ID cannot be empty!";"Kampagnen-ID kann nicht leer sein!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"Provisionstyp-ID (ID) kann nicht leer sein!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"Provisionsgruppen-ID kann nicht leer sein!";"S";"";"T";"N"
"Commission type does not exist";"Provisionstyp existiert nicht";"S";"";"T";"N"
"Commissions saved successfully";"Provisionen erfolgreich gespeichert";"S";"";"T";"N"
"Field 'type' does not exist";"Feld 'Typ' existiert nicht";"S";"";"T";"N"
"Failed to change status";"Status konnte nicht geändert werden";"S";"";"T";"N"
"Status successfully changed";"Status erfolgreich geändert";"S";"";"T";"N"
"CommissionsImportExportDescription";"Provisionen (Transaktionen, Aufträge) wurden im System erfasst";"B";"";"T";"N"
"Affiliate screen";"Partner Bildschirm";"S";"";"T";"N"
"Affiliate panel menu saved";"Partner Panel-Menü gespeichert";"S";"";"T";"N"
"Error changing default theme";"Fehler beim Ändern des Standard-Themas";"S";"";"T";"N"
"Default theme changed";"Standard-Thema geändert";"S";"";"T";"N"
"Program name and logo saved";"Programmname und Logo gespeichert";"S";"";"T";"N"
"Affiliate signup settings saved";"Einstellungen für Partner-Registrierung gespeichert";"S";"";"T";"N"
