"source";"translation";"type";"module";"status";"customer"
"Campaign Name";"Название кампании";"B";"";"T";"N"
"Type";"Тип";"B";"";"T";"N"
"Affiliate username";"Имя пользователя партнера";"S";"";"T";"N"
"Paid";"оплачен";"B";"";"T";"N"
"Ip";"IP";"S";"";"T";"N"
"Referer";"Реферер";"B";"";"T";"N"
"Recurring commison id";"ID повторяющейся комиссии";"S";"";"T";"N"
"Payout history id";"ID истории выплат";"B";"";"T";"N"
"Click count";"Количество кликов";"S";"";"T";"N"
"First click time";"Время первого клика";"S";"";"T";"N"
"First click referer";"Реферер первого клика";"S";"";"T";"N"
"First click ip";"IP-адрес первого клика";"S";"";"T";"N"
"First click data 1";"Данные первого клика 1";"S";"";"T";"N"
"First click data 2";"Данные первого клика 2";"S";"";"T";"N"
"Last click time";"Время последнего клика";"S";"";"T";"N"
"Last click referer";"Реферер последнего клика";"S";"";"T";"N"
"Last click ip";"IP-адрес последнего клика";"S";"";"T";"N"
"Last click data 1";"Данные последнего клика 1";"S";"";"T";"N"
"Last click data 2";"Данные последнего клика 2";"S";"";"T";"N"
"Extra data 1";"Дополнительные данные 1";"B";"";"T";"N"
"Extra data 2";"Дополнительные данные 2";"B";"";"T";"N"
"Extra data 3";"Дополнительные данные 3";"S";"";"T";"N"
"Extra data 4";"Дополнительные данные 4";"S";"";"T";"N"
"Extra data 5";"Дополнительные данные 5";"S";"";"T";"N"
"Merchant note";"Заметки продавца";"B";"";"T";"N"
"Banner name";"Название баннера";"B";"";"T";"N"
"Banner preview";"Предварительный просмотр баннера";"S";"";"T";"N"
"Campaign";"Кампания";"B";"";"T";"N"
"Target URL";"URL-адрес получателя";"B";"";"T";"N"
"Banner type";"Тип баннера";"S";"";"T";"N"
"Html data is not defined";"HTML данные не указаны";"S";"";"T";"N"
"File name is not defined";"Название файла не указано";"S";"";"T";"N"
"unknown";"Неизвестно";"B";"";"T";"N"
"approved";"Одобрено";"B";"";"T";"N"
"pending";"На рассмотрении";"B";"";"T";"N"
"User Id";"ID пользователя";"S";"";"T";"N"
"Payment date";"Дата оплаты";"S";"";"T";"N"
"Username";"Имя пользователя";"B";"";"T";"N"
"Amount";"Сумма";"B";"";"T";"N"
"Note to affiliate";"Заметка для партнера";"S";"";"T";"N"
"Original currency ID";"ID первоначальной валюты";"S";"";"T";"N"
"Original currency rate";"Курс первоначальной валюты";"S";"";"T";"N"
