"source";"translation";"type";"module";"status";"customer"
"Recurring commison id";"定期重複產生佣金id";"S";"";"T";"N"
"Payout history id";"支出記錄id";"B";"";"T";"N"
"Click count";"點擊數統計";"S";"";"T";"N"
"First click time";"首次點擊時間";"S";"";"T";"N"
"First click referer";"首次點擊推薦人";"S";"";"T";"N"
"First click ip";"首次點擊的ip地址";"S";"";"T";"N"
"First click data 1";"首次點擊資料(Data) 1";"S";"";"T";"N"
"First click data 2";"首次點擊資料(Data) 2";"S";"";"T";"N"
"Last click time";"上一次點擊時間";"S";"";"T";"N"
"Last click referer";"上一次點擊的推介人";"S";"";"T";"N"
"Last click ip";"上一次點擊的ip位址";"S";"";"T";"N"
"Last click data 1";"上一次點擊資料(Data) 1";"S";"";"T";"N"
"Last click data 2";"上一次點擊資料(Data) 2";"S";"";"T";"N"
"Extra data 1";"附加數據(Data) 1";"B";"";"T";"N"
"Extra data 2";"附加數據(Data) 2";"B";"";"T";"N"
"Extra data 3";"附加數據(Data) 3";"S";"";"T";"N"
"Extra data 4";"附加數據(Data) 4";"S";"";"T";"N"
"Extra data 5";"附加數據(Data) 5";"S";"";"T";"N"
"Merchant note";"經營商說明";"B";"";"T";"N"
"Banner name";"橫幅廣告名稱";"B";"";"T";"N"
"Banner preview";"橫幅廣告預覽";"S";"";"T";"N"
"Campaign";"廣告方案";"B";"";"T";"N"
"Target URL";"目標網址";"B";"";"T";"N"
"Banner type";"橫幅廣告類型";"S";"";"T";"N"
"Html data is not defined";"沒有定義Html資料(Data)";"S";"";"T";"N"
"File name is not defined";"沒有定義檔案名";"S";"";"T";"N"
"unknown";"未知";"B";"";"T";"N"
"approved";"通過認證";"S";"";"T";"N"
"pending";"處理中";"S";"";"T";"N"
"User Id";"用戶Id";"S";"";"T";"N"
"Payment date";"付款日期";"S";"";"T";"N"
"Username";"用戶名";"B";"";"T";"N"
"Amount";"數量";"B";"";"T";"N"
"Note to affiliate";"通知聯盟會員";"S";"";"T";"N"
"Original currency ID";"初始貨幣ID";"S";"";"T";"N"
"Original currency rate";"初始貨幣匯率";"S";"";"T";"N"
"Original currency value";"初始貨幣價值";"S";"";"T";"N"
"System note";"系統注釋";"B";"";"T";"N"
"Country code";"國家代碼";"B";"";"T";"N"
"Affiliate first name";"聯盟會員名字";"S";"";"T";"N"
"Affiliate last name";"聯盟會員姓氏";"S";"";"T";"N"
"3rd party cookie";"協力廠商的cookie";"B";"";"T";"N"
"1st party cookie";"第一方的cookie";"B";"";"T";"N"
"Flash cookie";"Flash cookie";"B";"";"N";"N"
"Forced parameter";"強制的參數";"B";"";"T";"N"
"IP address";"IP地址";"B";"";"T";"N"
"Default affiliate";"默認的聯盟會員";"B";"";"T";"N"
"Url";"網址";"B";"";"T";"N"
"Note";"注釋";"B";"";"T";"N"
"Status does not have allowed value";"狀態沒有允許的值";"S";"";"T";"N"
"Selected username already exists";"選擇的用戶名已經存在";"S";"";"T";"N"
"Failed to change status for %s user(s)";"%s使用者改變狀態失敗";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"成功地為%s使用者改變狀態";"S";"";"T";"N"
"First Name";"名字";"B";"";"T";"N"
"Last Name";"姓氏";"B";"";"T";"N"
"Password";"密碼";"B";"";"T";"N"
"Title must be unique";"標題必須是唯一的";"S";"";"T";"N"
"Selected parent affiliate does not exist";"選擇的上級聯盟會員不存在";"S";"";"T";"N"
"Failed loading file %s with error: %s";"因為錯誤%s，載入檔%s失敗。";"S";"";"T";"N"
"Merchant - New User Signup";"經營商 - 新用戶註冊";"B";"";"T";"N"
"New user signed up";"新用戶註冊";"B";"";"T";"N"
"Email subject";"電子郵件主題";"S";"";"T";"N"
"Email text";"電子郵件內容";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"經營商– 聯盟會員已經填寫了聯繫我們的表格";"B";"";"T";"N"
"Affiliate filled Contact us form";"聯盟會員已經填寫了聯繫我們的表格";"B";"";"T";"N"
"Merchant - New Sale / Lead";"經營商– 新的銷售 / 引導";"B";"";"T";"N"
"New sale / lead";"新的銷售 / 引導";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"聯盟會員 – 新用戶註冊已被批准";"B";"";"T";"N"
", welcome to our affiliate program";"歡迎參與我們的聯盟會員計畫";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"聯盟會員 – 批准前的新用戶註冊";"B";"";"T";"N"
"Paid amount";"已付金額";"S";"";"T";"N"
"Paid currency";"已付貨幣種類";"S";"";"T";"N"
"Payout method";"支出方式";"B";"";"T";"N"
"Affiliate - On payout";"聯盟會員 – 在支出頁面";"B";"";"T";"N"
"Your commissions";"您的佣金";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"聯盟會員 – 新的二級的銷售 / 引導";"B";"";"T";"N"
"New subaffiliate sale / lead";"新的二級聯盟會員的銷售 / 引導";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"聯盟會員 – 新的二級聯盟會員註冊";"B";"";"T";"N"
"New subaffiliate signed up";"新的二級聯盟會員註冊";"B";"";"T";"N"
"VAT percentage";"VAT百分比";"B";"";"T";"N"
"VAT number";"VAT號碼";"B";"";"T";"N"
"Registration number";"註冊號碼";"B";"";"T";"N"
"VAT part";"VAT部分";"B";"";"T";"N"
"Payment incl. VAT";"包括VAT的付款";"B";"";"T";"N"
"Payment excl. VAT";"不包括VAT的付款";"B";"";"T";"N"
"Affiliate - On VAT payout";"聯盟會員 – 在VAT支出頁面";"B";"";"T";"N"
"Transaction ID";"交易ID";"B";"";"T";"N"
"TotalCost";"總計成本";"S";"";"T";"N"
"Tier";"級別";"S";"";"T";"N"
"Campaign ID";"廣告方案ID";"S";"";"T";"N"
"Campaign name";"廣告方案名稱";"B";"";"T";"N"
"Referer URL";"推薦人網址";"S";"";"T";"N"
"IP";"IP";"S";"";"N";"N"
"First click - time";"首次點擊 – 時間";"S";"";"T";"N"
"First click - referer";"首次點擊 – 推薦人";"S";"";"T";"N"
"Last click - time";"上一次點擊 – 時間";"S";"";"T";"N"
"Last click - referer";"上一次點擊 – 推薦人";"S";"";"T";"N"
"Transaction data1";"交易資料(Data)1";"S";"";"T";"N"
"Transaction data2";"交易資料(Data)2";"S";"";"T";"N"
"Transaction data3";"交易資料(Data)3";"S";"";"T";"N"
"Transaction data4";"交易資料(Data)4";"S";"";"T";"N"
"Transaction data5";"交易資料(Data)5";"S";"";"T";"N"
"Note to merchant";"通知經營商";"S";"";"T";"N"
"Original currency";"初始貨幣";"S";"";"T";"N"
"Banner does not exist";"橫幅廣告不存在";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"伺服器錯誤:針對BannerForm._save()的未知類型錯誤";"S";"";"T";"N"
"Banner was saved";"橫幅廣告已經被保存";"S";"";"T";"N"
"Clicks";"點擊數";"B";"";"T";"N"
"CTR";"點擊率(CTR)";"S";"";"T";"N"
"Order";"訂單";"B";"";"T";"N"
"BannersImportExportDescription";"橫幅廣告定義 – 記錄導入/匯出唯一的定義	

Campaign does not exist;廣告方案不存在""";"B";"";"T";"N"
"Campaign capping saved";"廣告方案封頂保存";"S";"";"T";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"在有效啟用的廣告方案中，交易數量必須被設置。";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"這裡有一些丟失的表格和有效性到期的廣告方案";"S";"";"T";"N"
"Commission successfully computed";"已成功地計算佣金";"S";"";"T";"N"
"User is not valid!";"用戶無效!";"S";"";"T";"N"
"Campaign is not valid!";"廣告方案無效!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"在廣告方案中的交易類型無效或是不存在!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"不能批准對於此用戶在廣告方案中的佣金分組!";"S";"";"T";"N"
"Error getting commission settings!";"獲得佣金設置錯誤!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"錯誤，對於百分比佣金您必須要定義總計成本!";"S";"";"T";"N"
"You cannot delete default campaign";"您不能刪除默認的廣告方案""";"S";"";"T";"N"
"Default";"默認";"B";"";"T";"N"
"per sale / lead";"每次銷售/引導";"B";"";"T";"N"
"CampaignsImportExportDescription";"廣告方案及其佣金數量設置";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"載入廣告方案組: 廣告方案ID為空";"S";"";"T";"N"
"Campaign ID cannot be empty!";"廣告方案ID不能為空!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"佣金類型ID不能為空!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"佣金分組ID不能為空!";"S";"";"T";"N"
"Commission type does not exist";"佣金類型不存在";"S";"";"T";"N"
"Commissions saved successfully";"佣金已被成功保存";"S";"";"T";"N"
"Field 'type' does not exist";"域'類型'不存在";"S";"";"T";"N"
"Failed to change status";"改變狀態失敗";"S";"";"T";"N"
"Status successfully changed";"狀態已成功改變";"S";"";"T";"N"
"CommissionsImportExportDescription";"佣金（交易訂單）已通過系統註冊";"B";"";"T";"N"
"Affiliate screen";"聯盟會員介面";"S";"";"T";"N"
"Affiliate panel menu saved";"聯盟會員面板菜單已保存";"S";"";"T";"N"
"Error changing default theme";"改變預設主題錯誤";"S";"";"T";"N"
"Default theme changed";"預設主題已經改變";"S";"";"T";"N"
"Program name and logo saved";"計畫名稱和標識已經保存";"S";"";"T";"N"
"Affiliate signup settings saved";"聯盟會員註冊設置已經保存";"S";"";"T";"N"
"Value";"價值";"B";"";"T";"N"
"Banner format successfully saved";"橫幅廣告格式已經成功保存";"S";"";"T";"N"
"Cookies settings saved";"Cookies設置已保存";"S";"";"T";"N"
"Symbol";"符號";"B";"";"T";"N"
"Precision";"精確性";"B";"";"T";"N"
"Where to display";"在哪裡顯示";"B";"";"T";"N"
"Exchange rate";"匯率";"S";"";"T";"N"
"Currency";"貨幣";"B";"";"T";"N"
"Fraud protections saved";"欺詐保護已保存";"S";"";"T";"N"
"Logging saved";"日誌已保存";"S";"";"T";"N"
"Parameter names saved";"參數名稱已保存";"S";"";"T";"N"
"Tracking saved";"跟蹤已保存";"S";"";"T";"N"
"Affiliates successfully paid";"聯盟會員已成功付款";"S";"";"T";"N"
"Id";"Id";"B";"";"N";"N"
"Email";"電子郵件";"B";"";"T";"N"
"Approved";"已認證";"B";"";"T";"N"
"VAT";"VAT";"S";"";"N";"N"
"To pay";"將付款";"S";"";"T";"N"
"Pending";"處理中";"B";"";"T";"N"
"Declined";"已拒絕";"B";"";"T";"N"
"Minimum payout";"最小支出";"S";"";"T";"N"
"Payout data";"支出資料(Data)";"B";"";"T";"N"
"N/A";"N/A";"S";"";"N";"N"
"New payout option";"新的支出選項";"S";"";"T";"N"
"New payout option %s";"新的支出選項 %s";"S";"";"T";"N"
"Payout option";"支出選項";"B";"";"T";"N"
"Payout history";"支出歷史";"B";"";"T";"N"
"Date paid";"已付款的日期";"S";"";"T";"N"
"Payees";"收款人";"S";"";"T";"N"
"Total amount";"總量";"S";"";"T";"N"
"Affiliate note";"聯盟會員注釋";"B";"";"T";"N"
"Date";"日期";"B";"";"T";"N"
"Referer url";"推薦人網址";"S";"";"T";"N"
"Data 1";"數據(Data) 1";"B";"";"T";"N"
"Data 2";"數據(Data) 2";"B";"";"T";"N"
"Clicks unique";"獨立點擊";"S";"";"T";"N"
"Click";"點擊";"B";"";"T";"N"
