"source";"translation";"type";"module";"status";"customer"
"Campaign Name";"Campagnenaam";"B";"";"T";"N"
"Type";"Type";"B";"";"T";"N"
"Affiliate username";"Partner gebruikersnaam";"S";"";"T";"N"
"Paid";"Betaald";"B";"";"T";"N"
"Ip";"IP";"S";"";"T";"N"
"Referer";"Referentie";"B";"";"T";"N"
"Recurring commison id";"Periodieke provisie ID";"S";"";"T";"N"
"Payout history id";"Uitbetaalgeschiedenis ID";"B";"";"T";"N"
"Click count";"Aantal klikken";"S";"";"T";"N"
"First click time";"Eerste klik op tijd";"S";"";"T";"N"
"First click referer";"Eerste klik referentie";"S";"";"T";"N"
"First click ip";"Eerste klik IP";"S";"";"T";"N"
"First click data 1";"Eerste klik gegevens 1";"S";"";"T";"N"
"First click data 2";"Eerste klik gegevens 2";"S";"";"T";"N"
"Last click time";"Laatste klik op tijd";"S";"";"T";"N"
"Last click referer";"Laatste klik referentie";"S";"";"T";"N"
"Last click ip";"Laatste klik IP";"S";"";"T";"N"
"Last click data 1";"Laatste klik gegevens 1";"S";"";"T";"N"
"Last click data 2";"Laatste klik gegevens 2";"S";"";"T";"N"
"Extra data 1";"Extra gegevens 1";"B";"";"T";"N"
"Extra data 2";"Extra gegevens 2";"B";"";"T";"N"
"Extra data 3";"Extra gegevens 3";"S";"";"T";"N"
"Extra data 4";"Extra gegevens 4";"S";"";"T";"N"
"Extra data 5";"Extra gegevens 5";"S";"";"T";"N"
"Merchant note";"Zakenpartner notitie";"B";"";"T";"N"
"Banner name";"Banner naam";"B";"";"T";"N"
"Banner preview";"Banner voorvertoon";"S";"";"T";"N"
"Campaign";"Campagne";"B";"";"T";"N"
"Target URL";"Doel URL";"B";"";"T";"N"
"Banner type";"Banner type";"S";"";"T";"N"
"Html data is not defined";"Html gegevens zijn niet gedefinieerd";"S";"";"T";"N"
"File name is not defined";"Bestandsnaam is niet gedefinieerd";"S";"";"T";"N"
"unknown";"onbekend";"B";"";"T";"N"
"approved";"goedgekeurd";"B";"";"T";"N"
"pending";"in behandeling";"B";"";"T";"N"
"User Id";"Gebruiker-id";"S";"";"T";"N"
